EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:36.500,00:55.900,00:19.400,Report Phish button,8
P2,00:58.000,01:05.000,00:07.000,Report Phish button,2
L1,01:06.200,01:21.800,00:15.600,Delete button,3
P3,01:21.200,01:28.200,00:07.000,Report Phish button,6
L2,01:29.200,01:36.200,00:07.000,Report Phish button,2
P4,01:36.800,01:44.700,00:07.900,Report Phish button,5
L3,01:44.100,01:50.000,00:05.900,Delete button,2
L4,01:51.700,01:59.800,00:08.100,Delete button,6
P5,02:00.000,02:03.500,00:03.500,Report Phish button,2
L5,02:04.500,02:08.500,00:04.000,Delete button,2
P6,02:09.700,02:18.100,00:08.400,Delete button,1
L6,02:19.200,02:22.300,00:03.100,Report Phish button,2
P7,02:23.000,02:31.500,00:08.500,Delete button,3
L7,02:31.100,02:39.100,00:08.000,Report Phish button,2
P8,02:40.900,03:05.000,00:24.100,Delete button,2
P9,03:06.100,03:17.400,00:11.300,Delete button,2
L8,03:18.600,03:34.400,00:15.800,Delete button,5
P10,03:35.600,03:44.000,00:08.400,Delete button,5
L9,03:43.500,03:49.300,00:05.800,Delete button,2
L10,03:50.900,04:01.400,00:10.500,Delete button,1
