EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:43.800,00:56.500,00:12.700,Report Phish button,4
P2,00:58.700,01:05.300,00:06.600,Report Phish button,2
L1,01:07.100,01:41.400,00:34.300,Delete button,2
P3,01:42.100,02:51.700,01:09.600,Delete button,12
L2,02:52.800,03:28.800,00:36.000,Report Phish button,12
P4,03:29.000,03:59.100,00:30.100,Report Phish button,11
L3,04:00.100,04:16.700,00:16.600,Delete button,7
L4,04:17.000,04:26.800,00:09.800,Report Phish button,5
P5,04:27.100,04:39.400,00:12.300,Report Phish button,7
L5,04:40.000,04:55.600,00:15.600,Delete button,3
P6,04:56.400,05:35.000,00:38.600,Delete button,3
L6,05:36.600,06:30.700,00:54.100,Delete button,8
P7,06:31.500,06:33.400,00:01.900,Report Phish button,3
L7,06:34.600,07:11.900,00:37.300,Delete button,3
P8,07:12.400,07:55.000,00:42.600,Report Phish button,4
P9,07:56.400,08:06.800,00:10.400,Report Phish button,3
L8,08:08.700,08:25.100,00:16.400,Delete button,6
P10,08:25.300,08:58.200,00:32.900,Delete button,4
L9,08:59.700,09:09.800,00:10.100,Delete button,10
L10,09:10.400,09:24.100,00:13.700,Report Phish button,4
