EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:14.500,00:24.600,00:10.100,Report Phish button,8
P2,00:25.600,00:41.100,00:15.500,Report Phish button,1
L1,00:43.400,00:48.200,00:04.800,Delete button,5
P3,00:49.400,00:55.600,00:06.200,Report Phish button,1
L2,00:57.000,01:15.800,00:18.800,Delete button,2
P4,01:16.900,01:25.200,00:08.300,Delete button,5
L3,01:27.000,01:33.500,00:06.500,Delete button,4
L4,01:35.400,01:45.400,00:10.000,Delete button,3
P5,01:46.100,01:52.300,00:06.200,Report Phish button,1
L5,01:53.500,01:59.400,00:05.900,Delete button,2
P6,02:00.700,02:15.500,00:14.800,Delete button,4
L6,02:17.300,02:47.400,00:30.100,Delete button,5
P7,02:48.500,03:04.000,00:15.500,Report Phish button,4
L7,03:04.300,03:23.200,00:18.900,Delete button,3
P8,03:24.800,03:29.600,00:04.800,Report Phish button,4
P9,03:30.700,03:37.400,00:06.700,Report Phish button,3
L8,03:38.100,03:42.300,00:04.200,Delete button,2
P10,03:43.900,03:55.100,00:11.200,Report Phish button,1
L9,03:57.600,04:06.000,00:08.400,Delete button,4
L10,04:07.900,04:12.400,00:04.500,Delete button,2
