EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:13.200,00:32.600,00:19.400,Report Phish button,2
P2,00:34.300,00:48.400,00:14.100,Report Phish button,5
L1,00:49.300,01:15.700,00:26.400,Delete button,6
P3,01:16.100,01:26.700,00:10.600,Report Phish button,3
L2,01:27.200,01:58.800,00:31.600,Delete button,3
P4,01:59.300,02:33.000,00:33.700,Report Phish button,7
L3,02:34.800,03:06.600,00:31.800,Report Phish button,4
L4,03:07.400,03:21.200,00:13.800,Report Phish button,5
P5,03:22.200,03:26.900,00:04.700,Report Phish button,3
L5,03:27.800,04:04.600,00:36.800,Delete button,2
P6,04:05.700,04:14.200,00:08.500,Report Phish button,4
L6,04:15.700,05:43.300,01:27.600,Report Phish button,4
P7,05:44.200,05:48.500,00:04.300,Report Phish button,3
L7,05:49.100,06:05.000,00:15.900,Report Phish button,1
P8,06:05.100,06:18.200,00:13.100,Report Phish button,3
P9,06:19.300,06:38.000,00:18.700,Delete button,6
L8,06:39.700,06:56.700,00:17.000,Report Phish button,6
P10,06:57.300,07:01.400,00:04.100,Report Phish button,2
L9,07:02.500,07:08.800,00:06.300,Delete button,4
L10,07:09.600,07:17.500,00:07.900,Report Phish button,2
