EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:08.300,00:20.700,00:12.400,Report Phish button,3
P2,00:21.900,00:40.000,00:18.100,Delete button,3
L1,00:41.100,01:01.300,00:20.200,Delete button,8
P3,01:02.300,01:18.500,00:16.200,Delete button,3
L2,01:19.600,01:37.000,00:17.400,Delete button,1
P4,01:37.900,01:53.000,00:15.100,Delete button,7
L3,01:53.600,02:04.900,00:11.300,Report Phish button,5
L4,02:05.700,02:23.300,00:17.600,Delete button,1
P5,02:24.000,02:28.700,00:04.700,Report Phish button,7
L5,02:28.800,02:32.100,00:03.300,Delete button,3
P6,02:34.000,02:46.900,00:12.900,Delete button,4
L6,02:46.300,03:00.400,00:14.100,Delete button,4
P7,03:00.400,03:16.900,00:16.500,Report Phish button,3
L7,03:17.000,03:23.300,00:06.300,Report Phish button,4
P8,03:24.800,03:31.300,00:06.500,Report Phish button,2
P9,03:31.200,03:41.700,00:10.500,Report Phish button,4
L8,03:42.200,03:48.900,00:06.700,Delete button,3
P10,03:48.000,03:58.000,00:10.000,Report Phish button,4
L9,03:58.600,04:03.900,00:05.300,Delete button,6
L10,04:03.400,04:06.400,00:03.000,Delete button,3
