EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:04.900,00:15.000,00:10.100,Report Phish button,4
P2,00:16.300,00:30.100,00:13.800,Report Phish button,5
L1,00:31.900,00:47.400,00:15.500,Delete button,5
P3,00:48.900,01:05.800,00:16.900,Delete button,1
L2,01:06.200,01:23.800,00:17.600,Delete button,4
P4,01:24.600,01:32.600,00:08.000,Delete button,2
L3,01:32.200,01:45.600,00:13.400,Delete button,14
L4,01:45.700,02:01.000,00:15.300,Delete button,4
P5,02:00.900,02:13.700,00:12.800,Delete button,5
L5,02:15.200,02:22.400,00:07.200,Delete button,4
P6,02:23.500,02:35.400,00:11.900,Delete button,2
L6,02:36.000,02:46.800,00:10.800,Delete button,5
P7,02:47.200,02:56.300,00:09.100,Report Phish button,6
L7,02:57.100,03:21.500,00:24.400,Delete button,6
P8,03:21.500,03:30.800,00:09.300,Report Phish button,5
P9,03:31.200,03:34.500,00:03.300,Delete button,1
L8,03:35.000,03:47.400,00:12.400,Delete button,2
P10,03:48.700,04:04.900,00:16.200,Report Phish button,4
L9,04:05.500,04:07.300,00:01.800,Delete button,5
L10,04:07.200,04:09.300,00:02.100,Delete button,3
