EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:26.600,00:53.100,00:26.500,Report Phish button,3
P2,00:54.700,01:02.600,00:07.900,Report Phish button,7
L1,01:04.200,01:24.700,00:20.500,Delete button,3
P3,01:25.800,01:40.900,00:15.100,Report Phish button,5
L2,01:41.600,02:07.800,00:26.200,Delete button,7
P4,02:08.100,02:22.500,00:14.400,Report Phish button,1
L3,02:23.900,02:39.500,00:15.600,Delete button,2
L4,02:40.000,02:49.000,00:09.000,Delete button,1
P5,02:50.300,02:54.800,00:04.500,Report Phish button,2
L5,02:55.200,03:06.800,00:11.600,Delete button,4
P6,03:06.300,03:24.700,00:18.400,Report Phish button,6
L6,03:29.300,03:38.800,00:09.500,Delete button,3
P7,03:39.600,03:46.200,00:06.600,Report Phish button,3
L7,03:47.900,04:05.700,00:17.800,Delete button,6
P8,04:06.500,04:40.500,00:34.000,Report Phish button,5
P9,04:40.800,05:03.300,00:22.500,Report Phish button,9
L8,05:03.900,05:09.800,00:05.900,Delete button,3
P10,05:10.800,05:28.300,00:17.500,Report Phish button,1
L9,05:29.800,05:35.600,00:05.800,Delete button,2
L10,05:37.000,05:51.300,00:14.300,Delete button,3
