EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:14.300,00:23.400,00:09.100,Report Phish button,5
P2,00:25.400,00:41.600,00:16.200,Delete button,4
L1,00:41.100,00:53.100,00:12.000,Report Phish button,4
P3,00:55.700,01:32.300,00:36.600,Delete button,2
L2,01:35.600,01:57.500,00:21.900,Report Phish button,5
P4,01:58.000,02:11.000,00:13.000,Report Phish button,3
L3,02:12.900,02:22.100,00:09.200,Delete button,5
L4,02:23.200,02:37.000,00:13.800,Delete button,2
P5,02:37.300,02:49.300,00:12.000,Report Phish button,3
L5,02:52.300,03:05.600,00:13.300,Delete button,6
P6,03:06.400,03:42.900,00:36.500,Delete button,3
L6,03:43.100,04:09.900,00:26.800,Report Phish button,4
P7,04:10.400,04:29.600,00:19.200,Report Phish button,4
L7,04:30.100,06:37.200,02:07.100,Delete button,6
P8,06:38.000,06:45.300,00:07.300,Report Phish button,4
P9,06:46.900,06:55.000,00:08.100,Report Phish button,1
L8,06:55.700,07:10.500,00:14.800,Delete button,2
P10,07:11.100,07:22.900,00:11.800,Report Phish button,2
L9,07:23.100,07:39.100,00:16.000,Delete button,2
L10,07:40.400,07:49.700,00:09.300,Delete button,4
