EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:05.900,00:22.600,00:16.700,Report Phish button,7
P2,00:23.700,00:54.500,00:30.800,Report Phish button,1
L1,00:55.000,01:10.100,00:15.100,Delete button,3
P3,01:11.300,01:26.900,00:15.600,Report Phish button,5
L2,01:26.800,02:23.200,00:56.400,Delete button,9
P4,02:24.400,02:51.300,00:26.900,Delete button,4
L3,02:52.100,03:13.500,00:21.400,Delete button,2
L4,03:14.600,03:34.300,00:19.700,Delete button,5
P5,03:35.300,03:54.900,00:19.600,Report Phish button,6
L5,03:55.900,04:31.700,00:35.800,Delete button,8
P6,04:32.200,05:52.100,01:19.900,Delete button,12
L6,05:53.500,06:17.800,00:24.300,Delete button,2
P7,06:17.200,06:33.700,00:16.500,Delete button,9
L7,06:33.900,07:26.400,00:52.500,Delete button,8
P8,07:26.600,08:17.100,00:50.500,Report Phish button,15
P9,08:18.100,08:57.300,00:39.200,Delete button,11
L8,08:57.400,09:23.000,00:25.600,Delete button,4
P10,09:22.500,09:52.600,00:30.100,Report Phish button,4
L9,09:52.700,10:20.500,00:27.800,Delete button,7
L10,10:20.400,11:08.800,00:48.400,Delete button,3
