Time, Type, Target, EmailID, Extra
00:21.6,mousemove,where to read the email,?,887:870
00:23.1,mousemove,where to read the email,?,655:287
00:23.3,mousemove,other,?,654:305
00:23.3,mousemove,where to choose emails,?,652:304
00:24.1,mousemove,other,?,654:286
00:24.3,mousemove,other,?,654:297
00:24.5,mousemove,where to read the email,?,659:297
00:24.6,mousemove,where to choose emails,?,652:289
00:25.5,mousemove,other,?,654:322
00:25.7,mousemove,where to choose emails,?,649:319
00:28.6,click,Scans,P2,?
00:33.3,mousemove,other,?,620:133
00:40.9,mousemove,where to read the email,?,1200:95
01:04.8,mousemove,other,?,653:353
01:04.9,mousemove,where to choose emails,?,651:351
01:07.4,mousemove,where to read the email,?,663:293
01:08.3,mousemove,where to choose emails,?,643:353
01:09.9,click,Mark Egi Bandolin,P1,?
01:10.2,click,Scans,P2,?
01:13.4,mousemove,where to read the email,?,711:348
01:36.4,mousemove,where to choose emails,?,629:312
01:38.0,click,Mark Egi Bandolin,P1,?
01:38.5,mousemove,where to read the email,?,680:180
01:40.8,mousemove,other,?,654:177
01:40.9,mousemove,where to choose emails,?,648:181
01:43.4,mousemove,where to read the email,?,657:152
01:44.0,click,Scans,P2,?
01:44.0,mousemove,other,?,653:99
01:49.3,mousemove,where to choose emails,?,640:141
01:49.4,click,Report Phish button,?,
01:51.4,click,Google,L1,?
01:55.0,click,Melita Ltd,P3,?
01:55.2,mousemove,where to read the email,?,684:304
02:03.7,mousemove,other,?,939:88
02:04.3,mousemove,other,?,650:97
02:04.7,mousemove,where to read the email,?,768:96
02:05.2,click,Report Phish button,?,
02:05.9,mousemove,where to choose emails,?,620:146
02:06.0,click,Microsoft OneDrive,L2,?
02:07.3,mousemove,where to read the email,?,668:284
02:08.0,mousemove,where to choose emails,?,616:440
02:09.1,mousemove,other,?,653:360
02:09.3,mousemove,where to read the email,?,662:357
02:09.8,click,Apple,P4,?
02:11.9,mousemove,where to choose emails,?,649:314
02:14.1,mousemove,where to read the email,?,661:276
02:14.8,click,Dropbox,L3,?
02:17.0,mousemove,where to choose emails,?,637:461
02:18.5,mousemove,where to choose emails,?,308:464
02:18.9,mousemove,sidebar,?,214:505
02:19.5,click,Melita,L4,?
02:20.9,mousemove,where to read the email,?,699:349
02:21.7,mousemove,where to choose emails,?,621:460
02:22.9,click,JIDESH GOVINDANKUTTY NAIR,P5,?
02:23.6,mousemove,where to read the email,?,657:372
02:34.6,mousemove,where to choose emails,?,651:143
02:35.4,click,Report Phish button,?,
02:37.3,click,Revolut,L5,?
02:37.5,mousemove,other,?,653:359
02:37.6,mousemove,where to read the email,?,737:359
02:39.7,mousemove,where to choose emails,?,633:411
02:39.9,click,Melita,L4,?
02:40.9,mousemove,where to read the email,?,664:350
02:44.9,mousemove,where to choose emails,?,642:371
02:48.7,click,Commissioner for Revenue,P6,?
02:49.3,mousemove,where to read the email,?,657:332
02:55.9,mousemove,where to choose emails,?,642:317
02:58.7,click,PayPal,L6,?
03:00.9,mousemove,where to read the email,?,668:334
03:00.9,click,Karen Abela,P7,?
03:27.0,mousemove,other,?,702:90
03:28.0,mousemove,other,?,654:345
03:28.1,mousemove,where to choose emails,?,651:349
03:28.5,mousemove,where to read the email,?,662:95
03:28.6,click,Report Phish button,?,
03:29.8,click,Mulvaney Shannon at Agenzija Zghazagh,L7,?
03:30.0,mousemove,where to read the email,?,676:324
03:54.0,mousemove,where to choose emails,?,641:538
03:54.0,click,Netflix,P8,?
03:55.0,mousemove,where to read the email,?,698:486
04:01.5,mousemove,where to choose emails,?,646:615
04:02.7,mousemove,where to choose emails,?,639:666
04:02.9,mousemove,where to read the email,?,671:650
04:03.0,mousemove,other,?,653:442
04:03.2,mousemove,where to read the email,?,656:434
04:03.6,click,Facebook,P9,?
04:14.8,mousemove,where to choose emails,?,636:443
04:15.3,click,Firebase,L8,?
04:15.7,mousemove,other,?,653:540
04:15.8,mousemove,where to read the email,?,697:512
04:24.3,mousemove,where to choose emails,?,627:532
04:26.2,mousemove,where to read the email,?,696:635
04:26.4,click,PayPal Billing Department,P10,?
04:43.5,mousemove,where to choose emails,?,633:606
04:44.1,mousemove,where to read the email,?,657:338
04:44.9,click,MCAST IICT No-reply,L9,?
04:45.0,mousemove,other,?,654:358
04:45.7,mousemove,other,?,654:284
04:45.7,mousemove,where to choose emails,?,646:288
04:48.8,click,Microsoft,L10,?
05:05.1,mousemove,other,?,470:100
05:06.9,mousemove,where to choose emails,?,543:138
05:07.3,click,Mark Egi Bandolin,P1,?
05:08.2,mousemove,where to read the email,?,656:192
05:09.0,mousemove,other,?,653:192
05:22.7,mousemove,other,?,532:129
05:23.0,mousemove,where to choose emails,?,631:172
05:23.1,mousemove,where to choose emails,?,644:142
05:23.5,mousemove,where to read the email,?,664:94
05:23.7,click,Report Phish button,?,
05:23.8,mousemove,other,?,653:111
05:26.0,mousemove,other,?,498:135
