Time, Type, Target, EmailID, Extra
00:01.1,mousemove,where to read the email,?,672:299
00:01.2,mousemove,other,?,237:13:00
00:01.8,mousemove,where to choose emails,?,444:146
01:01.5,mousemove,other,?,654:656
01:01.8,mousemove,where to choose emails,?,633:632
01:02.2,click,Mark Egi Bandolin,P1,?
01:02.7,mousemove,where to read the email,?,679:211
01:06.4,mousemove,other,?,653:329
01:06.6,mousemove,where to choose emails,?,650:328
01:24.2,mousemove,other,?,653:307
01:24.3,mousemove,other,?,635:136
01:24.5,mousemove,where to choose emails,?,649:230
01:25.4,mousemove,where to choose emails,?,637:146
01:25.9,mousemove,where to read the email,?,655:170
01:26.4,mousemove,where to choose emails,?,650:228
01:27.6,mousemove,where to read the email,?,699:171
01:28.3,mousemove,other,?,654:162
01:28.4,mousemove,where to choose emails,?,651:161
01:30.4,mousemove,other,?,500:136
01:30.4,mousemove,where to read the email,?,658:117
01:30.9,mousemove,other,?,686:88
01:31.6,mousemove,other,?,671:89
01:31.9,mousemove,where to read the email,?,674:94
01:34.9,click,Report Phish button,?,
01:35.1,click,Scans,P2,?
01:35.1,mousemove,where to read the email,?,660:91
01:35.2,mousemove,other,?,653:97
01:35.7,mousemove,where to choose emails,?,600:139
01:36.6,mousemove,where to read the email,?,658:211
01:41.3,click,Report Phish button,?,
01:41.8,mousemove,other,?,693:84
01:42.0,click,Google,L1,?
01:42.4,mousemove,where to choose emails,?,586:149
01:42.7,mousemove,where to read the email,?,659:200
01:42.8,mousemove,where to read the email,?,655:91
01:42.9,mousemove,other,?,645:101
01:48.1,mousemove,where to choose emails,?,570:145
01:48.4,mousemove,other,?,652:116
01:49.4,mousemove,other,?,578:135
01:50.0,click,Melita Ltd,P3,?
01:50.9,mousemove,where to choose emails,?,515:153
01:51.9,click,Google,L1,?
01:57.9,mousemove,other,?,497:132
02:06.2,click,Melita Ltd,P3,?
02:06.3,mousemove,where to choose emails,?,490:149
02:19.9,mousemove,other,?,629:135
02:20.4,mousemove,where to choose emails,?,598:139
02:20.5,click,Report Phish button,?,
02:21.9,mousemove,where to read the email,?,660:292
02:21.9,click,Microsoft OneDrive,L2,?
02:29.2,mousemove,other,?,653:249
02:29.3,mousemove,where to choose emails,?,647:242
02:29.9,mousemove,other,?,603:134
02:30.4,click,Report Phish button,?,
02:31.4,mousemove,where to read the email,?,666:221
02:31.5,click,Apple,P4,?
02:31.6,mousemove,where to choose emails,?,576:158
02:43.5,mousemove,other,?,654:229
02:43.6,mousemove,where to choose emails,?,635:229
02:43.8,mousemove,sidebar,?,248:230
02:44.4,mousemove,other,?,299:211
02:45.6,mousemove,sidebar,?,277:175
02:46.1,mousemove,where to choose emails,?,281:179
02:47.4,click,Apple,P4,?
02:48.0,mousemove,where to read the email,?,656:257
02:48.9,mousemove,other,?,653:257
03:16.6,mousemove,where to choose emails,?,625:336
03:17.8,click,Dropbox,L3,?
03:18.6,mousemove,where to read the email,?,684:364
03:21.0,click,Apple,P4,?
03:21.9,mousemove,where to choose emails,?,630:347
03:22.0,mousemove,where to read the email,?,665:287
03:24.3,mousemove,other,?,631:122
03:24.9,mousemove,where to choose emails,?,507:141
03:25.6,mousemove,where to read the email,?,673:182
03:25.8,click,Google,L1,?
03:26.2,mousemove,other,?,654:129
03:27.7,mousemove,where to choose emails,?,547:143
