Time, Type, Target, EmailID, Extra
00:00.5,mousemove,other,?,557:90
00:01.2,mousemove,where to read the email,?,667:470
00:01.3,mousemove,where to choose emails,?,533:158
00:01.4,mousemove,where to choose emails,?,608:762
00:01.9,mousemove,where to read the email,?,657:792
00:02.3,mousemove,where to choose emails,?,651:766
00:02.4,mousemove,where to read the email,?,668:709
00:02.5,mousemove,where to choose emails,?,652:627
00:02.6,mousemove,where to choose emails,?,414:138
00:03.0,mousemove,other,?,371:135
00:05.3,click,Mark Egi Bandolin,P1,?
00:06.1,mousemove,other,?,560:133
00:30.1,mousemove,where to read the email,?,878:883
00:39.6,mousemove,other,?,653:128
00:40.3,click,Report Phish button,?,
00:40.6,mousemove,where to choose emails,?,606:138
00:41.3,click,Scans,P2,?
00:42.9,mousemove,where to read the email,?,672:271
00:54.1,mousemove,where to read the email,?,656:328
00:54.1,mousemove,where to choose emails,?,646:326
00:54.2,mousemove,where to choose emails,?,641:177
00:54.5,mousemove,where to read the email,?,658:92
00:54.6,mousemove,other,?,632:136
00:54.6,mousemove,other,?,664:87
00:55.1,mousemove,where to read the email,?,659:96
00:55.1,click,Google,L1,?
00:55.3,mousemove,other,?,652:105
00:55.8,mousemove,where to choose emails,?,601:142
00:55.8,click,Report Phish button,?,
00:56.8,mousemove,other,?,653:238
00:56.9,mousemove,where to read the email,?,656:240
01:02.7,mousemove,other,?,637:121
01:04.1,mousemove,where to read the email,?,721:216
01:04.8,mousemove,where to choose emails,?,627:144
01:07.4,click,Delete button,?,
01:07.6,mousemove,where to choose emails,?,645:317
01:08.0,mousemove,other,?,574:110
01:08.8,mousemove,where to choose emails,?,506:138
01:09.9,click,Melita Ltd,P3,?
01:13.3,mousemove,where to read the email,?,744:247
01:26.6,mousemove,where to read the email,?,1083:115
01:27.0,mousemove,other,?,1151:84
01:30.2,mousemove,where to choose emails,?,650:456
01:30.7,mousemove,where to read the email,?,655:195
01:31.6,mousemove,other,?,655:90
01:32.3,mousemove,where to choose emails,?,639:143
01:32.6,click,Report Phish button,?,
01:33.2,click,Microsoft OneDrive,L2,?
01:34.5,mousemove,where to read the email,?,688:438
01:44.6,mousemove,other,?,1050:90
01:45.0,mousemove,where to read the email,?,1047:97
02:02.0,mousemove,other,?,709:64
02:07.1,click,Delete button,?,
02:07.4,mousemove,where to choose emails,?,523:147
02:08.5,click,Apple,P4,?
02:09.7,mousemove,where to read the email,?,725:262
02:12.2,mousemove,where to read the email,?,665:396
02:12.6,mousemove,other,?,653:385
02:12.8,mousemove,where to choose emails,?,637:393
02:17.1,mousemove,other,?,678:89
02:23.2,mousemove,where to read the email,?,661:98
02:23.4,click,Report Phish button,?,
02:23.4,mousemove,other,?,649:113
02:23.7,mousemove,where to choose emails,?,616:148
02:24.2,mousemove,where to read the email,?,670:285
02:24.9,click,Dropbox,L3,?
02:27.1,mousemove,other,?,686:57:00
02:28.0,click,Delete button,?,
02:28.3,mousemove,where to choose emails,?,523:146
02:29.2,click,Melita,L4,?
02:30.1,mousemove,where to read the email,?,669:253
02:39.6,mousemove,other,?,715:89
02:40.2,click,Delete button,?,
02:40.4,mousemove,where to choose emails,?,567:143
02:41.0,click,JIDESH GOVINDANKUTTY NAIR,P5,?
02:43.1,mousemove,where to read the email,?,655:202
02:50.1,mousemove,other,?,658:89
02:51.3,mousemove,where to choose emails,?,620:145
02:51.6,click,Report Phish button,?,
02:52.0,click,Revolut,L5,?
02:52.7,mousemove,other,?,653:335
02:52.9,mousemove,where to read the email,?,668:351
03:01.9,mousemove,other,?,872:87
03:02.5,mousemove,where to read the email,?,850:133
03:04.5,mousemove,where to choose emails,?,649:164
03:04.9,mousemove,other,?,593:132
03:05.9,click,Delete button,?,
03:06.1,click,Commissioner for Revenue,P6,?
03:06.7,mousemove,where to choose emails,?,536:148
03:08.3,mousemove,where to read the email,?,658:186
03:12.4,mousemove,where to read the email,?,656:319
