Time, Type, Target, EmailID, Extra
00:01.2,mousemove,other,?,51:90
00:01.3,mousemove,where to read the email,?,661:372
00:01.4,mousemove,sidebar,?,119:124
00:01.7,mousemove,where to choose emails,?,319:220
00:02.0,mousemove,where to choose emails,?,647:327
00:38.7,mousemove,where to choose emails,?,641:344
00:38.9,mousemove,where to read the email,?,779:141
00:39.1,click,Mark Egi Bandolin,P1,?
00:54.1,mousemove,where to choose emails,?,631:424
00:54.2,mousemove,sidebar,?,263:420
00:54.5,mousemove,where to read the email,?,750:237
00:55.2,mousemove,where to choose emails,?,296:408
00:55.8,mousemove,where to read the email,?,744:244
01:32.7,mousemove,other,?,961:67
01:32.7,mousemove,where to read the email,?,702:98
01:33.0,mousemove,other,?,647:125
01:33.0,mousemove,other,?,735:87
01:33.3,mousemove,other,?,473:135
01:33.3,mousemove,sidebar,?,269:168
01:33.7,click,Report Phish button,?,
01:33.8,mousemove,where to read the email,?,699:93
01:33.9,mousemove,where to choose emails,?,399:141
01:34.0,mousemove,where to choose emails,?,298:169
01:34.0,mousemove,where to choose emails,?,551:152
01:35.6,click,Scans,P2,?
01:49.0,mousemove,other,?,623:128
01:50.2,mousemove,where to read the email,?,656:101
01:50.3,mousemove,other,?,643:105
01:51.0,click,Report Phish button,?,
01:51.1,mousemove,sidebar,?,272:207
01:51.2,mousemove,where to choose emails,?,422:142
01:51.7,mousemove,where to choose emails,?,292:207
01:51.8,click,Google,L1,?
01:52.7,mousemove,where to read the email,?,788:246
02:06.9,mousemove,where to choose emails,?,584:235
02:08.1,click,Melita Ltd,P3,?
02:09.8,click,Google,L1,?
02:33.5,mousemove,other,?,434:134
02:34.0,mousemove,where to choose emails,?,445:138
02:34.7,click,Delete button,?,
02:35.5,click,Melita Ltd,P3,?
02:45.3,mousemove,other,?,629:132
02:45.7,mousemove,where to read the email,?,662:108
02:46.0,mousemove,other,?,694:85
02:46.8,click,Report Phish button,?,
02:46.9,mousemove,where to choose emails,?,456:148
02:47.1,click,Microsoft OneDrive,L2,?
02:52.7,mousemove,other,?,589:127
02:53.3,click,Delete button,?,
02:54.5,mousemove,where to choose emails,?,476:140
02:54.6,click,Apple,P4,?
02:59.3,mousemove,where to read the email,?,665:95
02:59.5,mousemove,other,?,542:129
03:00.0,mousemove,other,?,683:90
03:00.0,click,Report Phish button,?,
03:00.7,mousemove,where to choose emails,?,401:143
03:01.2,click,Dropbox,L3,?
03:04.8,mousemove,other,?,574:128
03:05.2,click,Delete button,?,
03:06.4,click,Melita,L4,?
03:06.5,mousemove,where to choose emails,?,471:150
03:07.5,mousemove,where to read the email,?,706:231
03:14.5,mousemove,other,?,617:69
03:15.1,click,Delete button,?,
03:15.8,mousemove,where to choose emails,?,481:150
03:16.9,click,JIDESH GOVINDANKUTTY NAIR,P5,?
03:19.4,mousemove,other,?,613:122
03:26.4,mousemove,where to choose emails,?,420:146
03:26.7,click,Report Phish button,?,
03:26.7,mousemove,sidebar,?,275:214
03:27.2,mousemove,other,?,279:225
03:27.3,mousemove,where to choose emails,?,286:222
03:27.3,click,Revolut,L5,?
03:32.4,mousemove,other,?,513:128
03:33.2,click,Delete button,?,
03:34.3,mousemove,where to choose emails,?,457:140
03:34.6,click,Commissioner for Revenue,P6,?
03:35.7,mousemove,where to read the email,?,687:144
03:39.8,mousemove,other,?,648:125
03:40.0,click,Delete button,?,
03:40.8,mousemove,where to choose emails,?,504:142
