EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:05.900,00:06.400,00:00.500,Report Phish button,1
P2,00:07.200,00:09.400,00:02.200,Report Phish button,0
L1,00:10.600,00:12.000,00:01.400,Delete button,2
P3,00:12.400,00:16.500,00:04.100,Report Phish button,1
L2,00:17.200,00:23.200,00:06.000,Delete button,2
P4,00:24.200,00:27.200,00:03.000,Delete button,5
L3,00:28.200,00:57.800,00:29.600,Delete button,3
L4,00:58.500,01:05.700,00:07.200,Delete button,6
P5,01:06.500,01:10.100,00:03.600,Report Phish button,2
L5,01:11.200,01:14.300,00:03.100,Delete button,2
P6,01:18.200,01:30.300,00:12.100,Delete button,5
L6,01:31.300,01:38.400,00:07.100,Report Phish button,4
P7,01:39.900,01:41.700,00:01.800,Report Phish button,1
L7,01:42.700,01:50.700,00:08.000,Delete button,1
P8,01:51.400,01:57.100,00:05.700,Report Phish button,4
P9,01:58.100,02:01.900,00:03.800,Delete button,2
L8,02:01.300,02:11.500,00:10.200,Delete button,1
P10,02:12.800,02:15.500,00:02.700,Report Phish button,2
L9,02:16.700,02:19.000,00:02.300,Report Phish button,1
L10,02:19.700,02:24.000,00:04.300,Delete button,5
