EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,01:12.700,01:25.200,00:12.500,Report Phish button,7
P2,01:26.700,02:07.100,00:40.400,Report Phish button,2
L1,02:08.500,02:34.900,00:26.400,Delete button,8
P3,02:34.800,03:15.900,00:41.100,Delete button,11
L2,03:15.100,04:00.200,00:45.100,Report Phish button,5
P4,04:01.400,04:23.400,00:22.000,Report Phish button,5
L3,04:24.600,04:45.500,00:20.900,Delete button,7
L4,04:45.800,04:56.900,00:11.100,Delete button,7
P5,04:56.000,05:01.400,00:05.400,Report Phish button,2
L5,05:02.300,05:20.300,00:18.000,Delete button,8
P6,05:20.600,06:07.600,00:47.000,Delete button,5
L6,06:07.700,06:30.400,00:22.700,Report Phish button,7
P7,06:30.500,06:33.200,00:02.700,Report Phish button,3
L7,06:34.300,06:52.700,00:18.400,Delete button,2
P8,06:53.500,07:15.200,00:21.700,Report Phish button,5
P9,07:15.400,07:30.200,00:14.800,Report Phish button,4
L8,07:30.100,07:41.600,00:11.500,Delete button,7
P10,07:42.000,07:52.100,00:10.100,Report Phish button,1
L9,07:53.100,07:56.200,00:03.100,Delete button,2
L10,07:56.900,08:04.200,00:07.300,Delete button,1
