EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:08.200,00:49.000,00:40.800,Report Phish button,24
P2,00:50.000,01:15.300,00:25.300,Report Phish button,3
L1,01:16.300,01:27.700,00:11.400,Delete button,5
P3,01:28.200,01:57.400,00:29.200,Report Phish button,3
L2,01:58.100,02:18.600,00:20.500,Delete button,4
P4,02:19.900,02:37.100,00:17.200,Report Phish button,3
L3,02:38.200,02:47.500,00:09.300,Delete button,2
L4,02:48.800,02:56.500,00:07.700,Delete button,5
P5,02:57.500,03:12.100,00:14.600,Report Phish button,5
L5,03:13.600,03:25.100,00:11.500,Delete button,2
P6,03:25.400,03:45.600,00:20.200,Delete button,3
L6,03:46.700,03:57.200,00:10.500,Delete button,2
P7,03:58.500,04:13.200,00:14.700,Report Phish button,4
L7,04:13.400,04:46.600,00:33.200,Delete button,3
P8,04:47.400,04:53.800,00:06.400,Report Phish button,6
P9,04:54.200,05:10.000,00:15.800,Report Phish button,3
L8,05:11.600,05:22.300,00:10.700,Delete button,2
P10,05:23.900,05:43.200,00:19.300,Report Phish button,8
L9,05:43.200,06:12.500,00:29.300,Delete button,4
L10,06:12.700,06:19.900,00:07.200,Delete button,5
