EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:03.700,00:27.700,00:24.000,Report Phish button,0
P2,00:28.900,01:30.800,01:01.900,Report Phish button,9
L1,01:31.500,01:41.400,00:09.900,Delete button,4
P3,01:42.000,01:47.900,00:05.900,Report Phish button,4
L2,01:47.100,02:06.400,00:19.300,Delete button,4
P4,02:07.900,02:53.800,00:45.900,Report Phish button,9
L3,02:54.100,03:05.200,00:11.100,Delete button,10
L4,03:06.200,03:18.800,00:12.600,Delete button,4
P5,03:18.100,03:27.700,00:09.600,Report Phish button,10
L5,03:28.400,03:51.200,00:22.800,Delete button,5
P6,03:51.400,04:09.100,00:17.700,Delete button,7
L6,04:10.500,04:28.100,00:17.600,Delete button,4
P7,04:28.500,04:34.300,00:05.800,Report Phish button,8
L7,04:34.700,04:46.200,00:11.500,Delete button,5
P8,04:46.700,05:23.500,00:36.800,Report Phish button,5
P9,05:23.800,05:27.400,00:03.600,Delete button,4
L8,05:27.300,05:34.500,00:07.200,Delete button,3
P10,05:35.900,05:52.100,00:16.200,Report Phish button,6
L9,05:53.700,05:56.300,00:02.600,Delete button,3
L10,05:56.200,05:59.500,00:03.300,Delete button,6
