EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,01:28.200,01:40.500,00:12.300,Report Phish button,10
P2,01:52.600,02:08.600,00:16.000,Report Phish button,3
L1,02:09.400,02:17.400,00:08.000,Delete button,2
P3,02:18.700,02:40.000,00:21.300,Report Phish button,8
L2,02:41.500,03:16.900,00:35.400,Delete button,6
P4,03:17.500,03:43.100,00:25.600,Delete button,10
L3,03:44.000,03:49.000,00:05.000,Delete button,2
L4,03:51.000,03:53.300,00:02.300,Delete button,3
P5,03:54.400,03:57.500,00:03.100,Report Phish button,3
L5,03:57.500,04:07.700,00:10.200,Delete button,6
P6,04:07.600,04:40.000,00:32.400,Delete button,7
L6,04:39.400,04:48.100,00:08.700,Delete button,3
P7,04:49.000,04:52.900,00:03.900,Report Phish button,5
L7,04:53.600,05:00.800,00:07.200,Delete button,2
P8,05:01.900,05:04.600,00:02.700,Report Phish button,3
P9,05:05.400,05:17.200,00:11.800,Delete button,3
L8,05:17.400,05:37.000,00:19.600,Delete button,8
P10,05:38.000,05:58.200,00:20.200,Report Phish button,4
L9,05:59.700,06:04.300,00:04.600,Delete button,5
L10,06:05.000,06:18.400,00:13.400,Delete button,8
