EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:14.700,00:47.200,00:32.500,Report Phish button,6
P2,00:48.300,01:05.400,00:17.100,Report Phish button,5
L1,01:06.300,01:40.200,00:33.900,Delete button,10
P3,01:44.700,02:04.400,00:19.700,Report Phish button,13
L2,02:06.000,02:29.400,00:23.400,Delete button,6
P4,02:30.500,02:49.900,00:19.400,Delete button,6
L3,02:50.200,03:11.400,00:21.200,Delete button,5
L4,03:13.000,03:31.500,00:18.500,Delete button,4
P5,03:32.300,03:43.300,00:11.000,Report Phish button,4
L5,03:44.800,03:53.300,00:08.500,Delete button,3
P6,03:55.600,04:19.600,00:24.000,Report Phish button,3
L6,04:20.000,04:56.800,00:36.800,Report Phish button,4
P7,04:58.400,05:08.500,00:10.100,Report Phish button,9
L7,05:10.000,05:55.600,00:45.600,Delete button,18
P8,05:57.700,06:15.300,00:17.600,Delete button,2
P9,06:16.700,06:38.700,00:22.000,Delete button,6
L8,06:40.800,07:14.900,00:34.100,Report Phish button,17
P10,07:15.600,07:24.700,00:09.100,Report Phish button,4
L9,07:25.300,07:48.600,00:23.300,Delete button,8
L10,07:50.400,08:12.600,00:22.200,Delete button,7
