Time, Type, Target, EmailID, Extra
00:01.3,mousemove,where to read the email,?,666:482
00:01.5,mousemove,other,?,281:17:00
00:01.6,mousemove,where to choose emails,?,384:136
00:05.4,mousemove,where to read the email,?,1535:137
00:05.4,mousemove,other,?,1535:37:00
00:14.3,click,Mark Egi Bandolin,P1,?
00:14.4,mousemove,other,?,645:228
00:14.6,mousemove,where to choose emails,?,630:224
00:15.4,mousemove,where to read the email,?,659:217
00:15.9,mousemove,other,?,636:212
00:22.8,mousemove,other,?,653:88
00:23.4,click,Report Phish button,?,
00:24.8,mousemove,where to choose emails,?,563:146
00:25.4,click,Scans,P2,?
00:25.7,mousemove,other,?,643:217
00:26.9,mousemove,where to read the email,?,660:222
00:40.5,mousemove,other,?,642:130
00:41.1,click,Google,L1,?
00:41.4,mousemove,where to choose emails,?,516:153
00:41.6,click,Delete button,?,
00:42.1,mousemove,where to read the email,?,692:213
00:42.9,mousemove,other,?,645:201
00:52.9,mousemove,other,?,654:121
00:53.1,click,Report Phish button,?,
00:53.1,mousemove,where to choose emails,?,567:148
00:55.7,click,Melita Ltd,P3,?
00:56.4,mousemove,where to read the email,?,704:242
01:31.2,mousemove,other,?,720:78
01:32.3,click,Delete button,?,
01:33.5,mousemove,where to choose emails,?,508:137
01:35.6,click,Microsoft OneDrive,L2,?
01:36.7,mousemove,where to read the email,?,659:218
01:56.0,mousemove,other,?,631:116
01:56.5,mousemove,other,?,642:158
01:56.7,mousemove,where to choose emails,?,635:145
01:57.2,mousemove,where to choose emails,?,580:149
01:57.5,click,Report Phish button,?,
01:58.0,click,Apple,P4,?
01:59.3,mousemove,other,?,643:206
01:59.5,mousemove,where to read the email,?,663:211
02:10.4,mousemove,other,?,654:94
02:11.0,click,Report Phish button,?,
02:11.8,mousemove,where to choose emails,?,593:137
02:12.9,click,Dropbox,L3,?
02:13.2,mousemove,where to read the email,?,656:245
02:13.5,mousemove,other,?,636:217
02:20.2,mousemove,where to choose emails,?,603:180
02:21.0,mousemove,other,?,640:252
02:21.3,mousemove,other,?,559:124
02:22.1,click,Delete button,?,
02:22.8,mousemove,where to choose emails,?,502:137
02:23.2,mousemove,where to read the email,?,656:259
02:23.2,click,Melita,L4,?
02:24.0,mousemove,other,?,640:240
02:35.2,mousemove,other,?,666:73
02:37.0,click,Delete button,?,
02:37.2,mousemove,where to choose emails,?,502:137
02:37.3,click,JIDESH GOVINDANKUTTY NAIR,P5,?
02:39.0,mousemove,where to read the email,?,656:206
02:39.9,mousemove,other,?,638:197
02:48.7,mousemove,other,?,688:87
02:49.3,click,Report Phish button,?,
02:51.2,mousemove,where to choose emails,?,551:149
02:52.3,click,Revolut,L5,?
02:53.7,mousemove,where to read the email,?,657:253
03:01.6,mousemove,other,?,644:69
03:02.3,mousemove,where to choose emails,?,552:149
03:02.9,mousemove,where to read the email,?,656:303
03:04.8,mousemove,other,?,727:73
03:05.0,mousemove,where to choose emails,?,500:153
03:05.6,click,Delete button,?,
03:06.1,mousemove,other,?,653:253
03:06.3,mousemove,where to read the email,?,663:263
03:06.4,click,Commissioner for Revenue,P6,?
03:36.3,mousemove,other,?,648:185
03:36.4,mousemove,where to choose emails,?,634:156
03:36.6,mousemove,other,?,614:108
03:42.9,click,Delete button,?,
03:43.1,click,PayPal,L6,?
03:43.1,mousemove,where to choose emails,?,481:141
03:44.1,mousemove,where to read the email,?,656:210
03:44.6,mousemove,other,?,639:205
04:07.7,mousemove,other,?,728:89
04:09.9,click,Report Phish button,?,
04:10.4,click,Karen Abela,P7,?
04:10.6,mousemove,where to choose emails,?,526:148
04:11.7,mousemove,other,?,645:287
04:12.0,mousemove,where to read the email,?,667:310
04:28.4,mousemove,other,?,674:51:00
04:29.6,click,Report Phish button,?,
04:29.9,mousemove,where to choose emails,?,528:144
04:30.1,click,Mulvaney Shannon at Agenzija Zghazagh,L7,?
04:31.1,mousemove,other,?,640:230
04:31.3,mousemove,where to read the email,?,655:241
06:01.7,mousemove,where to choose emails,?,633:324
06:02.2,mousemove,other,?,636:275
06:02.5,mousemove,where to read the email,?,661:265
06:35.8,mousemove,other,?,714:73
06:37.2,click,Delete button,?,
06:38.0,mousemove,where to choose emails,?,476:157
06:38.0,click,Netflix,P8,?
06:39.4,mousemove,where to read the email,?,825:268
06:43.0,mousemove,where to choose emails,?,652:284
06:43.0,mousemove,where to read the email,?,656:207
06:44.7,mousemove,other,?,695:86
06:45.3,click,Report Phish button,?,
06:46.7,mousemove,where to choose emails,?,568:137
06:46.9,click,Facebook,P9,?
06:48.2,mousemove,other,?,565:132
06:55.0,click,Report Phish button,?,
06:55.2,mousemove,where to choose emails,?,579:141
06:55.7,click,Firebase,L8,?
06:58.3,mousemove,where to read the email,?,680:161
07:09.6,mousemove,other,?,644:134
07:10.5,click,Delete button,?,
07:10.7,mousemove,where to choose emails,?,509:139
07:11.1,click,PayPal Billing Department,P10,?
07:13.5,mousemove,where to read the email,?,681:385
07:22.0,mousemove,other,?,752:80
07:22.9,click,Report Phish button,?,
07:23.0,mousemove,where to choose emails,?,545:136
07:23.1,click,MCAST IICT No-reply,L9,?
07:23.8,mousemove,where to read the email,?,675:173
07:38.5,mousemove,other,?,685:73
07:39.1,click,Delete button,?,
07:39.3,mousemove,where to choose emails,?,493:180
07:40.4,click,Microsoft,L10,?
07:41.1,mousemove,where to read the email,?,687:336
07:41.6,mousemove,other,?,524:230
07:48.8,mousemove,where to choose emails,?,599:149
07:49.0,mousemove,other,?,582:89
07:49.7,click,Delete button,?,
08:01.7,mousemove,where to read the email,?,722:102
08:01.8,mousemove,other,?,807:60
08:11.0,mousemove,where to read the email,?,1045:97
08:11.9,mousemove,other,?,1039:85
