Time, Type, Target, EmailID, Extra
00:46.2,mousemove,where to read the email,?,696:923
00:46.3,mousemove,other,?,140:79
00:46.5,mousemove,sidebar,?,238:193
00:46.7,mousemove,where to choose emails,?,396:409
01:11.0,mousemove,where to choose emails,?,618:181
01:11.4,mousemove,other,?,504:115
01:12.4,mousemove,where to choose emails,?,424:142
01:12.7,click,Mark Egi Bandolin,P1,?
01:13.2,mousemove,other,?,653:192
01:13.4,mousemove,where to read the email,?,656:193
01:16.2,mousemove,other,?,653:217
01:16.4,mousemove,where to choose emails,?,630:214
01:18.6,mousemove,other,?,537:133
01:25.1,mousemove,where to read the email,?,668:96
01:25.1,mousemove,other,?,652:105
01:25.2,click,Report Phish button,?,
01:25.7,mousemove,where to choose emails,?,603:138
01:26.7,click,Scans,P2,?
01:27.9,mousemove,where to read the email,?,672:229
02:06.7,mousemove,other,?,676:86
02:07.1,click,Report Phish button,?,
02:07.2,mousemove,where to choose emails,?,634:147
02:07.8,mousemove,where to read the email,?,655:102
02:08.0,mousemove,other,?,642:128
02:08.5,click,Google,L1,?
02:10.9,mousemove,where to read the email,?,657:210
02:25.6,mousemove,where to choose emails,?,642:202
02:25.9,mousemove,other,?,594:126
02:28.2,mousemove,where to choose emails,?,608:153
02:28.6,mousemove,where to read the email,?,655:240
02:29.7,mousemove,other,?,532:136
02:30.0,mousemove,where to choose emails,?,650:226
02:34.2,mousemove,where to choose emails,?,483:137
02:34.8,click,Melita Ltd,P3,?
02:34.9,click,Delete button,?,
02:35.9,mousemove,where to read the email,?,663:218
03:02.5,mousemove,other,?,654:270
03:02.7,mousemove,where to choose emails,?,649:262
03:03.2,mousemove,other,?,462:135
03:04.1,mousemove,where to read the email,?,734:288
03:04.7,mousemove,where to choose emails,?,578:142
03:08.0,mousemove,where to choose emails,?,649:267
03:09.9,mousemove,where to read the email,?,658:257
03:12.1,mousemove,other,?,563:131
03:12.4,mousemove,where to choose emails,?,639:226
03:15.1,click,Microsoft OneDrive,L2,?
03:15.6,mousemove,where to choose emails,?,477:139
03:15.9,click,Delete button,?,
03:16.9,mousemove,where to read the email,?,694:155
03:57.1,mousemove,other,?,654:143
03:57.3,mousemove,where to choose emails,?,650:142
03:57.7,mousemove,other,?,630:136
04:00.2,click,Report Phish button,?,
