Time, Type, Target, EmailID, Extra
00:13.1,mousemove,where to read the email,?,655:110
00:13.1,mousemove,where to choose emails,?,574:157
00:13.2,mousemove,where to choose emails,?,623:144
00:13.3,mousemove,other,?,574:89
00:13.9,mousemove,other,?,641:128
00:14.0,mousemove,where to read the email,?,659:124
00:34.4,mousemove,other,?,653:288
00:34.5,mousemove,where to choose emails,?,629:278
00:43.1,click,Mark Egi Bandolin,P1,?
00:44.3,mousemove,where to read the email,?,699:264
00:54.1,mousemove,other,?,691:89
00:56.1,mousemove,where to read the email,?,690:103
01:02.2,mousemove,other,?,683:75
01:03.3,mousemove,where to read the email,?,671:94
01:03.6,click,Report Phish button,?,
01:03.8,mousemove,other,?,654:168
01:03.9,mousemove,where to choose emails,?,645:173
01:05.2,mousemove,where to read the email,?,661:261
01:05.4,click,Scans,P2,?
01:11.3,mousemove,where to choose emails,?,586:321
01:11.3,mousemove,where to read the email,?,700:405
01:17.8,mousemove,other,?,681:90
01:18.2,mousemove,where to read the email,?,690:101
01:18.7,click,Report Phish button,?,
01:19.6,mousemove,where to choose emails,?,646:186
01:20.6,click,Google,L1,?
01:21.6,mousemove,where to read the email,?,655:294
01:55.1,mousemove,where to choose emails,?,645:341
01:55.5,mousemove,other,?,551:119
01:56.5,mousemove,where to choose emails,?,537:144
01:56.8,click,Delete button,?,
01:57.4,click,Melita Ltd,P3,?
01:57.4,mousemove,where to read the email,?,664:261
02:21.3,mousemove,other,?,660:87
02:21.6,click,Report Phish button,?,
02:22.3,mousemove,where to choose emails,?,586:148
02:23.0,click,Microsoft OneDrive,L2,?
02:23.0,mousemove,where to read the email,?,682:336
02:57.3,mousemove,other,?,593:135
02:57.6,mousemove,other,?,653:226
02:57.8,mousemove,where to choose emails,?,642:208
03:01.3,click,Report Phish button,?,
03:01.6,mousemove,where to choose emails,?,579:148
03:02.0,click,Apple,P4,?
03:02.7,mousemove,where to read the email,?,703:345
03:28.6,mousemove,other,?,654:148
03:28.9,mousemove,where to choose emails,?,652:144
03:29.3,mousemove,other,?,653:135
03:29.4,mousemove,other,?,668:90
