Time, Type, Target, EmailID, Extra
00:00.0,mousemove,where to choose emails,?,375:246
00:00.1,mousemove,where to read the email,?,729:440
00:00.1,mousemove,other,?,164:20:00
00:07.7,mousemove,other,?,641:203
00:07.9,mousemove,where to choose emails,?,615:203
00:08.2,click,Mark Egi Bandolin,P1,?
00:09.2,mousemove,where to read the email,?,674:274
00:10.2,mousemove,other,?,0.29375
00:11.2,mousemove,sidebar,?,0.359722222
00:11.3,mousemove,other,?,0.265972222
00:11.3,mousemove,other,?,644:321
00:11.4,mousemove,where to choose emails,?,396:478
00:11.6,mousemove,sidebar,?,0.494444444
00:11.7,mousemove,where to read the email,?,659:288
00:25.4,mousemove,other,?,647:375
00:25.5,mousemove,where to choose emails,?,628:360
00:25.5,mousemove,other,?,546:134
00:37.5,mousemove,where to read the email,?,657:92
00:37.7,mousemove,where to read the email,?,709:91
00:37.7,mousemove,other,?,658:88
00:37.8,mousemove,other,?,650:100
00:39.0,mousemove,where to read the email,?,661:97
00:44.2,mousemove,other,?,652:89
00:46.7,mousemove,where to choose emails,?,599:138
00:46.8,mousemove,other,?,636:237
00:47.0,mousemove,where to read the email,?,658:251
00:47.1,mousemove,where to choose emails,?,604:281
00:48.0,mousemove,other,?,639:303
00:48.2,mousemove,where to choose emails,?,523:137
00:48.3,mousemove,other,?,532:129
00:49.0,click,Report Phish button,?,
00:50.0,click,Scans,P2,?
00:50.3,mousemove,where to read the email,?,657:225
00:50.8,mousemove,other,?,642:217
01:13.3,mousemove,other,?,668:90
01:15.3,click,Report Phish button,?,
01:15.5,mousemove,where to choose emails,?,481:145
01:16.3,click,Google,L1,?
01:16.5,mousemove,other,?,637:196
01:16.8,mousemove,where to read the email,?,674:203
01:26.1,mousemove,other,?,644:160
01:26.3,mousemove,other,?,617:131
01:26.5,mousemove,where to choose emails,?,633:148
01:27.7,click,Delete button,?,
01:28.2,click,Melita Ltd,P3,?
01:28.3,mousemove,where to choose emails,?,504:136
01:29.0,mousemove,where to read the email,?,656:195
01:56.5,mousemove,other,?,654:105
01:57.4,click,Report Phish button,?,
01:57.5,mousemove,where to choose emails,?,509:136
01:58.1,click,Microsoft OneDrive,L2,?
01:58.5,mousemove,other,?,640:193
01:58.8,mousemove,where to read the email,?,676:211
02:17.1,mousemove,other,?,537:132
02:17.5,mousemove,where to choose emails,?,620:172
02:18.6,click,Delete button,?,
02:19.3,mousemove,where to choose emails,?,509:136
02:19.9,click,Apple,P4,?
02:20.4,mousemove,where to read the email,?,660:196
02:36.1,mousemove,other,?,654:109
02:37.1,mousemove,where to choose emails,?,527:136
02:37.1,click,Report Phish button,?,
02:38.1,mousemove,where to read the email,?,655:204
02:38.2,click,Dropbox,L3,?
02:47.3,mousemove,other,?,653:159
02:47.5,mousemove,other,?,554:132
02:47.5,click,Delete button,?,
02:47.6,mousemove,where to choose emails,?,628:154
02:48.8,click,Melita,L4,?
02:48.9,mousemove,where to choose emails,?,518:139
02:49.3,mousemove,other,?,641:198
02:49.4,mousemove,where to read the email,?,669:205
02:55.4,mousemove,other,?,652:269
02:56.1,mousemove,other,?,585:128
02:56.5,click,Delete button,?,
02:56.7,mousemove,where to choose emails,?,632:225
02:57.1,mousemove,where to choose emails,?,523:137
02:57.5,click,JIDESH GOVINDANKUTTY NAIR,P5,?
02:58.4,mousemove,other,?,644:216
02:58.6,mousemove,where to read the email,?,660:224
03:11.3,mousemove,other,?,645:232
03:11.4,mousemove,where to choose emails,?,634:211
03:11.6,mousemove,other,?,608:132
03:12.1,click,Report Phish button,?,
03:13.4,mousemove,where to choose emails,?,532:140
03:13.6,mousemove,other,?,642:189
