Time, Type, Target, EmailID, Extra
00:03.8,mousemove,other,?,36:38:00
00:10.4,mousemove,where to choose emails,?,577:216
00:10.5,mousemove,other,?,653:260
00:10.7,mousemove,where to read the email,?,717:300
00:13.5,mousemove,where to choose emails,?,644:485
00:16.8,mousemove,where to read the email,?,663:500
00:43.5,mousemove,where to choose emails,?,642:370
00:43.7,mousemove,where to read the email,?,705:373
01:10.5,mousemove,where to choose emails,?,632:458
01:23.3,mousemove,where to choose emails,?,651:430
01:23.5,mousemove,where to read the email,?,671:488
01:23.6,mousemove,where to read the email,?,657:395
01:24.1,mousemove,other,?,796:79
01:24.3,mousemove,where to read the email,?,704:122
01:24.5,mousemove,where to choose emails,?,650:210
01:24.5,mousemove,sidebar,?,268:182
01:25.3,mousemove,where to choose emails,?,647:168
01:25.6,mousemove,where to choose emails,?,306:178
01:25.7,mousemove,where to read the email,?,659:210
01:28.2,click,Mark Egi Bandolin,P1,?
01:30.2,mousemove,where to read the email,?,768:264
01:30.2,mousemove,where to read the email,?,657:117
01:30.4,mousemove,where to choose emails,?,615:171
01:30.5,mousemove,other,?,738:88
01:31.2,mousemove,other,?,566:116
01:32.2,mousemove,other,?,650:98
01:32.4,mousemove,where to choose emails,?,641:142
01:32.5,mousemove,where to read the email,?,695:148
01:35.0,mousemove,where to read the email,?,662:106
01:40.0,mousemove,other,?,774:88
01:40.5,click,Report Phish button,?,
01:40.5,mousemove,where to choose emails,?,575:157
01:51.3,mousemove,where to choose emails,?,397:151
01:51.5,mousemove,other,?,419:91
01:52.6,click,Scans,P2,?
01:53.5,mousemove,where to read the email,?,697:273
02:07.7,mousemove,where to choose emails,?,651:178
02:07.8,mousemove,other,?,606:131
02:08.6,click,Report Phish button,?,
02:08.8,mousemove,where to choose emails,?,573:162
02:09.4,click,Google,L1,?
02:09.5,mousemove,where to read the email,?,688:226
02:13.7,mousemove,other,?,634:117
02:17.4,click,Delete button,?,
02:18.7,mousemove,where to choose emails,?,495:153
02:18.7,click,Melita Ltd,P3,?
02:19.2,mousemove,where to read the email,?,686:252
02:23.2,mousemove,other,?,839:89
02:24.3,mousemove,where to read the email,?,1654:92
02:24.8,mousemove,other,?,1532:90
02:28.2,mousemove,where to read the email,?,1803:102
02:39.6,mousemove,other,?,654:461
02:39.8,mousemove,where to choose emails,?,652:425
02:39.9,mousemove,other,?,640:136
02:40.0,click,Report Phish button,?,
02:40.2,mousemove,where to choose emails,?,578:138
02:41.5,mousemove,where to read the email,?,662:291
02:41.5,click,Microsoft OneDrive,L2,?
02:44.1,mousemove,other,?,1125:88
02:44.7,mousemove,where to read the email,?,1057:98
02:47.3,mousemove,other,?,617:136
02:47.3,mousemove,where to choose emails,?,624:240
02:57.1,mousemove,where to read the email,?,723:120
03:15.2,mousemove,other,?,626:125
03:16.9,click,Delete button,?,
03:17.2,mousemove,where to choose emails,?,525:162
03:17.5,click,Apple,P4,?
03:18.1,mousemove,where to read the email,?,687:269
03:23.0,mousemove,where to choose emails,?,630:412
03:25.1,mousemove,where to read the email,?,664:285
03:34.0,mousemove,other,?,653:328
03:34.2,mousemove,where to choose emails,?,634:331
03:34.3,mousemove,where to read the email,?,655:412
03:36.5,mousemove,where to choose emails,?,650:380
03:37.7,mousemove,where to read the email,?,669:404
03:42.8,mousemove,other,?,604:130
03:43.0,mousemove,where to choose emails,?,633:287
03:43.1,click,Delete button,?,
03:43.2,mousemove,where to choose emails,?,643:218
03:43.6,mousemove,where to choose emails,?,628:150
03:43.8,mousemove,where to read the email,?,670:184
03:44.0,click,Dropbox,L3,?
03:44.2,mousemove,where to read the email,?,668:269
03:48.5,mousemove,other,?,647:93
03:49.0,click,Delete button,?,
03:49.3,mousemove,where to choose emails,?,498:143
03:50.5,mousemove,where to read the email,?,668:303
03:51.0,click,Melita,L4,?
03:52.0,mousemove,where to choose emails,?,644:230
03:52.5,mousemove,other,?,606:131
03:53.3,mousemove,where to choose emails,?,494:137
03:53.3,click,Delete button,?,
03:54.4,click,JIDESH GOVINDANKUTTY NAIR,P5,?
03:54.8,mousemove,where to read the email,?,711:280
03:56.8,mousemove,other,?,603:120
03:57.0,mousemove,where to choose emails,?,645:254
03:57.5,click,Report Phish button,?,
03:57.5,click,Revolut,L5,?
03:57.8,mousemove,where to choose emails,?,553:145
