EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:43.300,00:52.500,00:09.200,Report Phish button,0
P2,00:59.900,01:11.600,00:11.700,Report Phish button,1
L1,01:11.200,01:15.800,00:04.600,Delete button,2
P3,01:16.600,01:24.000,00:07.400,Report Phish button,1
L2,01:24.100,01:29.300,00:05.200,Delete button,2
P4,01:30.500,01:35.000,00:04.500,Report Phish button,3
L3,01:34.500,01:36.500,00:02.000,Delete button,2
L4,01:36.700,01:48.600,00:11.900,Delete button,4
P5,01:49.700,01:56.000,00:06.300,Report Phish button,3
L5,01:56.000,02:00.300,00:04.300,Delete button,1
P6,02:01.800,02:18.400,00:16.600,Report Phish button,7
L6,02:19.100,02:21.800,00:02.700,Delete button,2
P7,02:21.600,02:23.300,00:01.700,Delete button,0
L7,02:24.900,02:44.800,00:19.900,Delete button,11
P8,02:44.400,02:49.400,00:05.000,Delete button,2
P9,02:49.400,02:51.900,00:02.500,Delete button,4
L8,02:51.800,03:05.900,00:14.100,Delete button,1
P10,03:06.200,03:20.400,00:14.200,Delete button,3
L9,03:20.800,03:55.000,00:34.200,Delete button,8
L10,03:55.800,04:36.800,00:41.000,Delete button,5
