EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,01:13.800,01:39.200,00:25.400,Report Phish button,2
P2,01:40.900,02:30.200,00:49.300,Report Phish button,3
L1,02:32.000,02:40.400,00:08.400,Delete button,3
P3,02:40.400,03:03.100,00:22.700,Delete button,7
L2,03:03.700,03:30.500,00:26.800,Delete button,6
P4,03:31.900,03:46.800,00:14.900,Delete button,3
L3,03:47.400,03:52.700,00:05.300,Delete button,3
L4,03:53.500,04:01.600,00:08.100,Delete button,3
P5,04:02.100,04:10.300,00:08.200,Report Phish button,2
L5,04:10.800,04:19.400,00:08.600,Delete button,3
P6,04:19.800,04:33.600,00:13.800,Delete button,3
L6,04:34.800,04:59.800,00:25.000,Delete button,2
P7,05:00.100,05:03.600,00:03.500,Report Phish button,2
L7,05:04.900,05:21.500,00:16.600,Delete button,3
P8,05:22.200,05:29.500,00:07.300,Report Phish button,4
P9,05:30.400,05:37.100,00:06.700,Report Phish button,2
L8,05:38.700,05:50.600,00:11.900,Delete button,3
P10,05:50.800,06:28.700,00:37.900,Delete button,1
L9,06:28.300,06:35.400,00:07.100,Delete button,5
L10,06:36.000,06:44.500,00:08.500,Delete button,4
