EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:45.600,00:54.400,00:08.800,Report Phish button,4
P2,00:54.300,01:10.200,00:15.900,Report Phish button,3
L1,01:10.900,01:50.500,00:39.600,Delete button,14
P3,01:51.800,01:58.100,00:06.300,Report Phish button,2
L2,01:59.600,02:29.900,00:30.300,Delete button,3
P4,02:29.800,02:39.400,00:09.600,Delete button,3
L3,02:40.100,02:48.200,00:08.100,Delete button,4
L4,02:49.500,03:37.800,00:48.300,Delete button,5
P5,03:38.600,03:54.900,00:16.300,Report Phish button,5
L5,03:56.600,04:20.600,00:24.000,Delete button,10
P6,04:21.900,05:10.100,00:48.200,Report Phish button,13
L6,05:11.600,05:22.000,00:10.400,Delete button,3
P7,05:23.700,05:38.000,00:14.300,Report Phish button,3
L7,05:38.000,06:04.000,00:26.000,Delete button,11
P8,06:04.300,06:09.100,00:04.800,Report Phish button,3
P9,06:10.400,06:22.700,00:12.300,Report Phish button,3
L8,06:22.800,06:30.200,00:07.400,Delete button,3
P10,06:31.000,07:02.700,00:31.700,Report Phish button,4
L9,07:03.100,07:15.000,00:11.900,Delete button,4
L10,07:14.700,07:17.600,00:02.900,Delete button,5
