EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:33.100,01:19.300,00:46.200,Report Phish button,7
P2,01:20.800,01:38.400,00:17.600,Report Phish button,6
L1,01:38.900,01:53.700,00:14.800,Delete button,4
P3,01:54.400,02:10.100,00:15.700,Report Phish button,0
L2,02:11.600,02:18.600,00:07.000,Delete button,2
P4,02:19.400,02:29.200,00:09.800,Delete button,1
L3,02:30.600,02:39.100,00:08.500,Delete button,3
L4,02:40.200,03:03.400,00:23.200,Delete button,3
P5,03:04.400,03:08.300,00:03.900,Report Phish button,2
L5,03:08.400,03:16.600,00:08.200,Delete button,4
P6,03:17.400,03:30.600,00:13.200,Delete button,1
L6,03:31.200,03:43.100,00:11.900,Delete button,6
P7,03:43.900,04:22.300,00:38.400,Delete button,6
L7,04:22.400,04:35.900,00:13.500,Report Phish button,3
P8,04:36.100,04:46.800,00:10.700,Report Phish button,4
P9,04:47.500,05:20.500,00:33.000,Report Phish button,3
L8,05:20.900,06:03.100,00:42.200,Delete button,3
P10,06:04.900,06:08.900,00:04.000,Report Phish button,2
L9,06:09.000,06:14.000,00:05.000,Delete button,2
L10,06:14.300,06:18.700,00:04.400,Delete button,5
