EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:39.800,01:10.500,00:30.700,Delete button,6
P2,01:11.300,02:04.600,00:53.300,Report Phish button,8
L1,02:05.400,02:14.200,00:08.800,Delete button,4
P3,02:15.200,02:22.900,00:07.700,Report Phish button,1
L2,02:23.400,02:46.100,00:22.700,Delete button,3
P4,02:46.600,02:56.200,00:09.600,Delete button,1
L3,02:57.100,03:02.900,00:05.800,Delete button,3
L4,03:03.300,03:13.800,00:10.500,Delete button,4
P5,03:14.200,03:40.600,00:26.400,Report Phish button,11
L5,03:41.100,03:45.300,00:04.200,Delete button,5
P6,03:47.200,03:54.200,00:07.000,Delete button,1
L6,03:54.100,04:08.900,00:14.800,Delete button,5
P7,04:09.200,04:14.600,00:05.400,Report Phish button,4
L7,04:15.500,04:33.200,00:17.700,Delete button,0
P8,04:34.300,04:48.600,00:14.300,Report Phish button,3
P9,04:48.100,05:04.800,00:16.700,Delete button,5
L8,05:05.600,05:12.000,00:06.400,Delete button,1
P10,05:12.800,05:19.600,00:06.800,Delete button,2
L9,05:20.800,05:23.500,00:02.700,Delete button,1
L10,05:24.000,05:28.100,00:04.100,Delete button,2
