EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:13.600,00:19.400,00:05.800,Report Phish button,2
P2,00:20.800,00:38.900,00:18.100,Report Phish button,2
L1,00:39.000,01:01.300,00:22.300,Delete button,2
P3,01:03.000,01:07.500,00:04.500,Report Phish button,1
L2,01:08.700,01:59.900,00:51.200,Delete button,8
P4,02:00.800,02:22.100,00:21.300,Report Phish button,10
L3,02:23.600,02:34.500,00:10.900,Delete button,2
L4,02:35.400,02:47.400,00:12.000,Delete button,5
P5,02:48.200,02:51.700,00:03.500,Report Phish button,1
L5,02:52.400,02:56.200,00:03.800,Delete button,5
P6,02:57.500,03:33.900,00:36.400,Report Phish button,2
L6,03:34.400,03:59.200,00:24.800,Delete button,5
P7,04:00.700,04:11.700,00:11.000,Report Phish button,4
L7,04:12.700,04:23.700,00:11.000,Delete button,4
P8,04:24.800,04:35.900,00:11.100,Report Phish button,2
P9,04:36.500,04:54.200,00:17.700,Delete button,4
L8,04:55.100,05:03.400,00:08.300,Delete button,4
P10,05:04.800,05:40.900,00:36.100,Report Phish button,2
L9,05:41.800,05:48.800,00:07.000,Delete button,5
L10,05:48.700,05:53.800,00:05.100,Delete button,5
