Time, Type, Target, EmailID, Extra
0.55,mousemove,where to read the email,?,994:309
6.55,mousemove,where to choose emails,?,638:442
8.63,click,Mark Egi Bandolin,P1,?
9.51,mousemove,where to read the email,?,684:239
16.16,mousemove,other,?,630:104
17.25,click,Report Phish button,?,
17.71,mousemove,where to choose emails,?,503:137
18.19,click,Scans,P2,?
19.16,mousemove,other,?,654:267
19.18,mousemove,where to read the email,?,703:280
25.15,mousemove,other,?,678:84
25.94,click,Report Phish button,?,
26.2,mousemove,where to choose emails,?,537:146
26.77,click,Google,L1,?
27.34,mousemove,where to read the email,?,659:228
30.68,mousemove,where to choose emails,?,649:154
30.73,mousemove,other,?,615:130
35.15,click,Delete button,?,
35.58,mousemove,where to choose emails,?,491:141
35.89,click,Melita Ltd,P3,?
36.55,mousemove,where to read the email,?,663:279
43.92,mousemove,other,?,693:89
44.83,click,Report Phish button,?,
45.16,mousemove,where to choose emails,?,495:143
45.6,click,Microsoft OneDrive,L2,?
46,mousemove,where to read the email,?,694:343
74.36,mousemove,other,?,683:84
75.05,click,Report Phish button,?,
75.31,mousemove,where to choose emails,?,554:140
75.65,click,Apple,P4,?
75.92,mousemove,where to read the email,?,672:236
81.33,mousemove,where to choose emails,?,645:272
81.48,mousemove,other,?,453:133
82.27,click,Delete button,?,
82.66,mousemove,where to choose emails,?,510:137
83.01,click,Dropbox,L3,?
83.36,mousemove,where to read the email,?,661:262
87.29,mousemove,other,?,654:193
87.31,mousemove,where to choose emails,?,652:191
87.53,mousemove,other,?,565:127
88.06,click,Delete button,?,
88.56,mousemove,where to choose emails,?,501:137
89,click,Melita,L4,?
89.4,mousemove,where to read the email,?,670:296
103.23,mousemove,where to choose emails,?,652:168
103.32,mousemove,other,?,620:131
104,click,Delete button,?,
104.29,mousemove,where to choose emails,?,517:152
104.89,click,JIDESH GOVINDANKUTTY NAIR,P5,?
106.01,mousemove,where to read the email,?,676:277
108.28,mousemove,where to choose emails,?,648:224
108.46,mousemove,other,?,592:136
109.39,click,Report Phish button,?,
109.83,mousemove,where to choose emails,?,572:141
110.37,click,Revolut,L5,?
111.25,mousemove,where to read the email,?,666:300
116.41,mousemove,where to choose emails,?,646:150
116.43,mousemove,other,?,594:108
117.2,click,Delete button,?,
117.51,mousemove,where to choose emails,?,532:137
117.89,click,Commissioner for Revenue,P6,?
118.4,mousemove,where to read the email,?,659:324
147.93,mousemove,other,?,653:210
147.93,mousemove,where to choose emails,?,637:192
147.97,mousemove,other,?,569:124
148.9,click,Delete button,?,
149.26,mousemove,where to choose emails,?,511:139
149.64,click,PayPal,L6,?
150.49,mousemove,other,?,653:280
150.49,mousemove,where to read the email,?,675:286
154.4,mousemove,where to choose emails,?,601:197
154.43,mousemove,other,?,465:129
155.14,click,Delete button,?,
155.41,mousemove,where to choose emails,?,481:141
155.77,click,Karen Abela,P7,?
157.92,mousemove,where to read the email,?,666:332
162.86,mousemove,other,?,688:80
163.52,click,Report Phish button,?,
163.83,mousemove,where to choose emails,?,536:149
164.23,click,Mulvaney Shannon at Agenzija Zghazagh,L7,?
164.65,mousemove,where to read the email,?,658:247
165.81,mousemove,where to choose emails,?,645:200
165.88,mousemove,other,?,565:130
168.88,mousemove,where to read the email,?,682:92
171.95,mousemove,other,?,653:368
171.97,mousemove,where to choose emails,?,649:372
172.18,mousemove,where to read the email,?,655:382
175.09,mousemove,other,?,651:121
176.02,click,Delete button,?,
176.31,mousemove,where to choose emails,?,512:137
176.66,click,Netflix,P8,?
176.93,mousemove,where to read the email,?,799:268
194.88,mousemove,where to choose emails,?,640:313
195.11,mousemove,other,?,553:130
196,click,Report Phish button,?,
196.35,mousemove,where to choose emails,?,534:142
196.67,click,Facebook,P9,?
197.41,mousemove,where to read the email,?,659:242
211.83,mousemove,other,?,654:241
211.84,mousemove,where to choose emails,?,647:230
212,mousemove,other,?,625:128
212.53,click,Report Phish button,?,
212.84,mousemove,where to choose emails,?,515:140
213.19,click,Firebase,L8,?
213.41,mousemove,where to read the email,?,678:295
217.91,mousemove,other,?,640:115
218.61,click,Delete button,?,
219.03,mousemove,where to choose emails,?,500:137
219.52,click,PayPal Billing Department,P10,?
220,mousemove,other,?,458:391
220.98,mousemove,where to read the email,?,701:488
252.31,mousemove,other,?,751:77
252.71,mousemove,where to read the email,?,660:91
253.03,mousemove,other,?,670:88
253.64,click,Report Phish button,?,
253.96,mousemove,where to choose emails,?,477:140
254.35,click,MCAST IICT No-reply,L9,?
255.01,mousemove,where to read the email,?,665:265
258.51,mousemove,where to choose emails,?,652:188
258.58,mousemove,other,?,570:134
263.24,click,Delete button,?,
263.58,mousemove,where to choose emails,?,506:143
263.94,click,Dropbox,L10,?
264.43,mousemove,other,?,546:232
264.49,mousemove,where to read the email,?,685:295
275.4,mousemove,other,?,653:185
275.41,mousemove,where to choose emails,?,651:182
275.52,mousemove,other,?,614:135
279.32,click,Delete button,?,
280.38,mousemove,where to read the email,?,703:387
281.72,mousemove,other,?,1564:90
283.56,mousemove,where to read the email,?,1487:176
283.68,mousemove,other,?,1589:242
284.38,mousemove,where to read the email,?,1808:99
290.84,mousemove,other,?,608:150
